方法   pt:6576.291440427422    sum:31635
输入   pt:2396.0174112651575    sum:5635
互相   pt:2394.9449726346807    sum:4705
足够   pt:2390.5379969751116    sum:8832
商店   pt:2390.1390185329155    sum:19742
买   pt:2390.0577696109185    sum:14576
触   pt:2387.6800142194784    sum:10910
花费   pt:2368.003288789858    sum:8414
机关   pt:2362.0019123907664    sum:5889
增长   pt:2351.121904948953    sum:7433
计算机   pt:2345.034978398253    sum:5289
范围   pt:2343.045713308755    sum:7659
定义   pt:2342.858415363199    sum:5583
呈现   pt:2332.929283865131    sum:10641
性质   pt:2307.6480983645934    sum:5409
水平   pt:2301.722910869484    sum:8752
资本   pt:2292.1623666481396    sum:9973
顶用   pt:2290.7932411320635    sum:9040
世界   pt:2279.869067476768    sum:8856
易于   pt:2277.753536612428    sum:8507
学习   pt:2260.9810549700496    sum:19180
合并   pt:2255.003713183601    sum:6637
领导   pt:2246.281277878215    sum:10163
重视   pt:2238.0196756935006    sum:12219
优越   pt:2218.028678638513    sum:6544
觉察   pt:2216.073107519294    sum:20068
知识   pt:2192.8742138779576    sum:7451
答   pt:2172.097499096222    sum:8395
吸引   pt:2163.462432167409    sum:7330
趋势   pt:2160.707710595668    sum:12806
关怀   pt:2156.657326422804    sum:13179
分开   pt:2155.841566912082    sum:8350
回忆   pt:2141.3792309721694    sum:9090
部署   pt:2139.5081606810813    sum:4982
辨别   pt:2114.592688779252    sum:11090
观察   pt:2106.445542602943    sum:9617
能力   pt:2079.6205121805997    sum:9525
留   pt:2076.4185902132504    sum:7551
价值   pt:2067.3175022370724    sum:4227
有利   pt:2058.8242015940486    sum:8980
一连   pt:2005.0564824516853    sum:4420
开始   pt:2004.313967270927    sum:12907
感到   pt:1973.9007175140691    sum:6954
差别   pt:1965.769553462406    sum:5376
制造   pt:1954.919214741182    sum:4844
全面   pt:1951.919647193129    sum:8307
相距   pt:1951.8907635880275    sum:6399
恰当   pt:1951.4561896435955    sum:12168
进行   pt:1949.6622633245759    sum:4578
抛弃   pt:1944.4565098885037    sum:10960
计算   pt:1936.503426203313    sum:7962
群众   pt:1935.948571689704    sum:5893
编辑   pt:1933.9998360461113    sum:6430
激发   pt:1933.0960604703916    sum:8027
长久   pt:1932.8048372843073    sum:9923
本来   pt:1906.7455841260555    sum:5493
因素   pt:1901.4514799384524    sum:4566
加剧   pt:1889.8688906649702    sum:5229
有害   pt:1877.7542976430377    sum:10874
注意   pt:1868.96201185174    sum:7787
称赞   pt:1851.607762127239    sum:10446
培养   pt:1849.6004634255037    sum:6557
连接   pt:1843.8328365767347    sum:10084
内心   pt:1841.1671756279686    sum:10904
表达   pt:1841.1448846260791    sum:5524
职位   pt:1838.6382181888664    sum:6835
当做   pt:1831.9739484310949    sum:6054
建立   pt:1828.2102405402343    sum:7610
取   pt:1826.714589131288    sum:3892
恢复   pt:1814.942620078356    sum:5946
翻译   pt:1813.7304378820522    sum:3904
如果   pt:1810.5290886327296    sum:4068
仔细   pt:1800.5361006810133    sum:7625
彻底   pt:1796.040371461967    sum:5748
发生   pt:1781.8831281488335    sum:8274
处于   pt:1776.4262972597962    sum:5443
地点   pt:1773.7462360997201    sum:2798
晋升   pt:1766.430687746853    sum:5969
承认   pt:1765.6078598398176    sum:4944
劳驾   pt:1758.187266553511    sum:5814
更新   pt:1745.9765578119789    sum:4404
政策   pt:1724.8827106716274    sum:3587
学科   pt:1706.108802646929    sum:4983
担负   pt:1689.685725095377    sum:7679
探究   pt:1685.8156412350368    sum:6455
从事   pt:1685.0941409108475    sum:7911
照射   pt:1676.066102445934    sum:5016
消失   pt:1665.0265994814572    sum:8046
父   pt:1650.16975852082    sum:5569
问   pt:1649.5598385965502    sum:9135
撞   pt:1635.354483078655    sum:8228
心情   pt:1631.1282793704145    sum:5837
论文   pt:1628.5202070343073    sum:4247
固定   pt:1620.9955408483806    sum:5759
协商   pt:1617.5989944266605    sum:6947
享受   pt:1603.146564322197    sum:5767
导致   pt:1591.1997583693055    sum:8186
时期   pt:1590.1844508832723    sum:5299
制止   pt:1576.513271246248    sum:4829
著名   pt:1576.1075375209132    sum:5770
显露   pt:1575.6734693877024    sum:7610
交   pt:1558.1876484937275    sum:5363
结合   pt:1544.683609022546    sum:4884
再   pt:1540.998787878779    sum:3583
强大   pt:1524.85851117479    sum:7683
相关   pt:1523.175454403118    sum:9644
成为   pt:1520.1705019171316    sum:13824
医治   pt:1518.6963069067626    sum:5255
位于   pt:1511.1261152722639    sum:5199
文件   pt:1508.2571511446379    sum:3448
就是   pt:1506.7390654501291    sum:4107
看   pt:1500.3645223762046    sum:5625
混杂   pt:1489.7629720947823    sum:5850
查阅   pt:1488.5341880986891    sum:4581
相配   pt:1487.9740356325517    sum:4276
讲课   pt:1484.9418190306226    sum:6434
诞生   pt:1479.3003097173737    sum:3200
不料   pt:1472.6274835464849    sum:4137
阅读   pt:1471.0673771543932    sum:4549
传播   pt:1461.2062109568706    sum:7947
围绕   pt:1458.5381273372045    sum:4636
安装   pt:1456.494107441157    sum:4273
答应   pt:1456.0715598692238    sum:4577
记得   pt:1455.3600569060654    sum:2907
途径   pt:1455.3235371007447    sum:3833
预测   pt:1444.3692851456565    sum:4265
改进   pt:1443.2434747083137    sum:3122
添补   pt:1439.8534494179337    sum:5580
接受   pt:1431.2837126259556    sum:7174
运转   pt:1428.366783526231    sum:4424
品尝   pt:1427.8431713565224    sum:6116
版本   pt:1419.7845685867846    sum:2728
失败   pt:1415.7866961572674    sum:7052
惩办   pt:1415.1041327445873    sum:4187
高兴   pt:1413.956480268029    sum:7443
超过   pt:1410.2551314032098    sum:3999
猛烈   pt:1408.1880913534462    sum:6610
逃避   pt:1401.6328273354306    sum:5245
叙述   pt:1392.3289958469343    sum:4851
图   pt:1390.2049743230348    sum:6461
推测   pt:1374.968398984505    sum:3895
榜样   pt:1373.8719204189972    sum:4674
触动   pt:1371.8180200198208    sum:5654
领域   pt:1366.6733962050855    sum:8128
简单   pt:1364.4241192195338    sum:21246
解决   pt:1364.3664507889735    sum:8749
占有   pt:1364.3561142991937    sum:4940
示范   pt:1360.7394237437363    sum:2290
保护   pt:1358.6106299090388    sum:4205
给予   pt:1358.1216457542992    sum:4195
规律   pt:1356.5422915936006    sum:3593
陪伴   pt:1355.298533488354    sum:3643
形状   pt:1346.1324524750603    sum:3139
区分   pt:1345.6967558726942    sum:3605
资料   pt:1340.98215621656    sum:2826
赚   pt:1339.5454477434882    sum:5605
监督   pt:1331.6954327561923    sum:3213
内容   pt:1322.3853129080112    sum:7075
慢   pt:1320.3735449735468    sum:5082
惊奇   pt:1314.3283894900555    sum:4804
约束   pt:1313.103043197954    sum:4781
调动   pt:1304.4034722581575    sum:3508
训练   pt:1301.5890629217033    sum:5553
躲藏   pt:1291.735442117205    sum:4892
害怕   pt:1290.8617202653359    sum:5302
议论   pt:1283.6394076658455    sum:6036
感谢   pt:1278.144754419151    sum:3666
姑且   pt:1275.931403651041    sum:2697
杰出   pt:1271.6294422065519    sum:5192
离别   pt:1271.526763016313    sum:2817
益处   pt:1268.4498862783582    sum:3504
实质   pt:1265.9667145211708    sum:4706
死   pt:1265.8710344381832    sum:4509
儿童   pt:1260.5603525057006    sum:6002
挥笔   pt:1256.1831679233887    sum:3708
迁移   pt:1253.9081390478818    sum:2659
任意   pt:1253.1885483495503    sum:5085
女   pt:1249.971966387284    sum:4309
准确   pt:1249.6052092421533    sum:2828
描写   pt:1238.859508421723    sum:13271
身体   pt:1237.305179466431    sum:5845
一再   pt:1230.7329862077913    sum:4167
达到   pt:1226.8091411094879    sum:3797
打算   pt:1219.768096296322    sum:3144
顶点   pt:1210.5834953480712    sum:3577
比赛   pt:1204.4062987012862    sum:4428
辩论   pt:1199.836757500621    sum:8992
专家   pt:1199.2547908996564    sum:2440
评论   pt:1188.6057649468232    sum:3164
唤醒   pt:1186.7053968915666    sum:3348
阻拦   pt:1182.006237172072    sum:4880
话   pt:1178.0773679161116    sum:8286
富裕   pt:1176.718630818465    sum:4742
摄影   pt:1172.0007320916384    sum:4488
亲密   pt:1169.394798231454    sum:4521
教师   pt:1168.4643699044761    sum:5123
遮盖   pt:1163.0129340140525    sum:4453
同伴   pt:1162.8906963059862    sum:3297
删除   pt:1162.3105534694398    sum:3293
有趣   pt:1150.2390862714349    sum:5334
革命   pt:1148.4734123962014    sum:2695
相遇   pt:1145.631259208995    sum:4418
挖   pt:1132.5501209574747    sum:3246
事物   pt:1132.3489961995444    sum:5937
设立   pt:1129.9309888950374    sum:2945
扩大   pt:1129.2311111111098    sum:3167
放   pt:1127.3846383385667    sum:2981
时机   pt:1114.238591501806    sum:7284
写作   pt:1113.7716030238396    sum:3638
讨厌   pt:1102.9101076469792    sum:3622
结果   pt:1100.153595620997    sum:3185
卖   pt:1096.856878692886    sum:5386
做   pt:1087.4830465672576    sum:3378
过程   pt:1082.6355169040114    sum:9139
糟糕   pt:1081.6042438039583    sum:2642
流   pt:1074.3490319459772    sum:2709
考试   pt:1066.976524644947    sum:2199
建筑   pt:1066.3678242623673    sum:3506
支配   pt:1062.8817698326272    sum:6135
母   pt:1058.451444882684    sum:2225
缺点   pt:1058.0417644608067    sum:3007
访问   pt:1057.4995604954502    sum:3193
人数   pt:1049.1295222259325    sum:3122
研究   pt:1047.3303622440992    sum:12053
终于   pt:1046.6273146095618    sum:3973
愿意   pt:1046.4830206830163    sum:3434
掉转   pt:1041.4521571857606    sum:5784
烦闷   pt:1037.8552853765286    sum:4711
独自   pt:1033.8305147483807    sum:2208
下令   pt:1031.107512804665    sum:1969
地方   pt:1027.8831273836804    sum:3171
脑子   pt:1027.0836661790386    sum:3426
忘记   pt:1024.3696673727572    sum:3490
下   pt:1021.3002002001872    sum:3088
坏   pt:1020.8699966699952    sum:3536
热门   pt:1014.11116134021    sum:2380
保存   pt:1012.5713571287129    sum:2419
选举   pt:1009.6305846091748    sum:2119
事件   pt:1008.4575289656142    sum:3333
越过   pt:1007.6832961036557    sum:3587
等级   pt:1006.5208707561828    sum:3824
损坏   pt:1002.7946764731217    sum:3505
反而   pt:1001.6129258216095    sum:2119
加以   pt:1000.2411282637681    sum:2556
摩擦   pt:998.2514527619212    sum:3717
体会   pt:997.2060096765903    sum:2609
轻微   pt:996.4818713894772    sum:2350
疏忽   pt:991.2278172807588    sum:2950
新式   pt:980.0212091712874    sum:3741
对   pt:977.6399471156698    sum:4394
阐明   pt:976.8562603349554    sum:2603
登载   pt:966.9127520226542    sum:3236
防止   pt:965.2908761195597    sum:3667
预料   pt:959.5872348101212    sum:3435
尝试   pt:958.5659061891815    sum:2112
竭力   pt:952.9838081458021    sum:8415
来   pt:948.3578571428529    sum:2938
充满   pt:947.5251530233666    sum:3374
人民   pt:941.8090593699359    sum:2828
引起   pt:940.5976059589278    sum:2861
妻   pt:936.8225316430191    sum:3017
安定   pt:936.7514711467707    sum:4999
模型   pt:933.4051611902055    sum:3097
撑持   pt:932.6752282604605    sum:4229
分   pt:931.7538748832859    sum:1772
态度   pt:931.282875457876    sum:2767
牵连   pt:929.6710736422203    sum:4758
共存   pt:926.8295454545405    sum:2985
不同   pt:920.9331825159989    sum:5034
风俗   pt:918.4814692154775    sum:6480
异常   pt:914.3735441689317    sum:2850
加快   pt:913.5055794798863    sum:2178
意义   pt:912.3391906522842    sum:3712
靠近   pt:908.7969789630782    sum:3392
感情   pt:905.9858811609765    sum:2012
审查   pt:901.6686868686795    sum:2789
人   pt:900.4546331387971    sum:2242
分成   pt:900.1610428460233    sum:2059
全部   pt:898.8819004524928    sum:2706
重叠   pt:898.3025891701192    sum:2599
喜欢   pt:898.299870672989    sum:8691
父母   pt:897.8733443889193    sum:3506
献   pt:892.8438704487006    sum:3061
正常   pt:887.8782284990899    sum:2367
外加   pt:885.8297619047636    sum:1942
活   pt:885.0181432053757    sum:5865
声称   pt:884.5663711340602    sum:2533
责备   pt:882.6833333333342    sum:3394
整理   pt:882.4524270564411    sum:1938
继续   pt:881.3330336808334    sum:2163
不适   pt:874.7812260536347    sum:1954
猜想   pt:871.6035690235782    sum:2830
规则   pt:864.7526135614597    sum:4153
赠送   pt:861.4397495540131    sum:4661
枯燥   pt:851.2619047619065    sum:2661
管辖   pt:850.7996177830958    sum:1936
性格   pt:848.8455433455317    sum:2751
包括   pt:848.724490150121    sum:10640
判断   pt:844.8807547890356    sum:4353
少   pt:841.8675602582892    sum:3148
分析   pt:837.6330267151014    sum:5947
频率   pt:834.2880217014715    sum:2428
生命力   pt:833.0734030345742    sum:2444
眼   pt:823.1020737327165    sum:2899
归纳   pt:822.193566368179    sum:2164
推理   pt:821.8264783668105    sum:1638
生病   pt:818.3345857700087    sum:2592
检查   pt:814.9394818463785    sum:2120
秘密   pt:810.557187257183    sum:2194
解释   pt:806.3264437213943    sum:4074
年龄   pt:805.2751399986673    sum:2803
绘画   pt:801.2189552907079    sum:3724
气氛   pt:800.3747899159705    sum:1929
情况   pt:798.5089965736079    sum:13309
阻塞   pt:797.9849480021823    sum:2731
动火   pt:790.4256641252962    sum:2421
睡觉   pt:789.5095142926465    sum:2175
参阅   pt:786.9226444325474    sum:2452
军队   pt:785.6365591654693    sum:2691
入手   pt:783.2248351648296    sum:1882
聪明   pt:783.105500055502    sum:2369
疲倦   pt:781.5298701298635    sum:2672
逼近   pt:778.4431075460427    sum:1682
填   pt:777.6565009065071    sum:2047
谈天   pt:774.5980021812996    sum:2976
主持   pt:773.9145002145001    sum:1988
度过   pt:770.32618846694    sum:1547
醒   pt:769.7111111111004    sum:2336
幸福   pt:767.9129441154055    sum:2140
记住   pt:767.8342698524755    sum:2921
疾病   pt:767.3594771241842    sum:1707
勇敢   pt:761.8727513227473    sum:2647
包   pt:761.706485671191    sum:1693
无心   pt:759.575630252106    sum:1954
昂贵   pt:759.0657404848868    sum:1930
退步   pt:757.9931437789928    sum:2114
善于   pt:754.926929193636    sum:2658
成员   pt:754.0396165419359    sum:1568
部分   pt:751.9308191808182    sum:1290
出席   pt:751.769863507458    sum:4862
奖励   pt:750.2978990720713    sum:1567
忧虑   pt:748.3401651421643    sum:2172
清洁   pt:747.2244638749619    sum:1978
夫   pt:746.3318524856986    sum:2336
资格   pt:745.586037582965    sum:1742
节拍   pt:745.1560748068545    sum:1717
意旨   pt:743.7196248196296    sum:1139
脸   pt:741.9767180305491    sum:1872
胜利   pt:736.554006733993    sum:2245
相等   pt:736.0549811228907    sum:2518
皇帝   pt:733.875562303186    sum:2363
子女   pt:732.9093697467385    sum:4416
意图   pt:731.5165390715813    sum:4477
标注   pt:731.5000401123079    sum:1127
遮挡   pt:730.478787878789    sum:2072
精巧   pt:728.3435322847112    sum:2172
携带   pt:727.0292582417613    sum:1948
前进   pt:725.5968490677733    sum:5180
进项   pt:725.0207873854433    sum:2077
决意   pt:724.2490826490786    sum:2224
不可企及   pt:720.4131500426225    sum:1791
振奋   pt:719.9124969420895    sum:4023
无用   pt:719.062500000012    sum:2195
提倡   pt:719.0574654377838    sum:1816
耗费   pt:714.8984848484824    sum:1967
坚强   pt:713.4450415484894    sum:1810
拯救   pt:711.4796035805556    sum:2115
爱   pt:711.1315191395978    sum:2413
限制   pt:709.2995726495709    sum:1653
迷惑   pt:708.2266899766947    sum:1933
假装   pt:706.9269033609378    sum:2025
记号   pt:704.3495952612252    sum:1508
着急   pt:701.3994227994142    sum:2372
调查   pt:695.3363119622803    sum:1997
公   pt:691.1982323232353    sum:1551
设备   pt:687.500429842376    sum:1958
空洞   pt:687.297807075369    sum:1765
名声   pt:684.1349206349227    sum:2194
发奋   pt:681.2566666666596    sum:1650
外人   pt:679.8976190476167    sum:1999
剩余   pt:675.7053338818027    sum:1903
眷属   pt:672.9177058029768    sum:2391
真诚   pt:672.8737484737397    sum:2209
容貌   pt:670.8712665112674    sum:2195
朗读   pt:669.8078757716662    sum:3770
武器   pt:662.6608946608859    sum:1722
礼品   pt:662.0441511196486    sum:1947
乐观   pt:661.9112517363785    sum:1525
开花   pt:661.2308353866372    sum:2432
分布   pt:661.1958874458894    sum:2267
储藏   pt:659.1688311688291    sum:1693
演出   pt:657.9251170085911    sum:1785
式样   pt:655.9945288753796    sum:2379
都   pt:654.569820314352    sum:3635
因为   pt:654.158065731965    sum:3485
合作   pt:653.3010702341036    sum:3608
分类   pt:652.7609920590046    sum:2334
奇怪   pt:652.4925170068061    sum:2253
衣服   pt:650.4152407339762    sum:3620
国家   pt:649.0601460651465    sum:2676
难题   pt:647.1711197299486    sum:1906
愚笨   pt:644.9703103913714    sum:2155
药品   pt:644.6025681797574    sum:1195
快   pt:644.177142857137    sum:1704
报告   pt:642.2804228329792    sum:1720
词   pt:640.0285814895668    sum:2616
次序   pt:637.0471595271727    sum:3095
速度   pt:636.5365622961635    sum:4133
人间   pt:636.0873015873058    sum:1473
不及   pt:635.6176689626869    sum:6593
年轻   pt:631.0787428257961    sum:2182
申请   pt:630.6058864250472    sum:1180
建议   pt:629.6223810247254    sum:4163
签字   pt:629.0340659340617    sum:1561
场所   pt:628.0060181648417    sum:1545
美貌   pt:627.8156565656428    sum:2120
仓库   pt:627.733015986454    sum:1455
阳台   pt:624.7999999999915    sum:2599
代替   pt:623.8231571296094    sum:1397
检讨   pt:622.6111111111154    sum:1977
怀念   pt:620.7343091964027    sum:26952
流行   pt:619.5782589959052    sum:3339
释放   pt:619.0116374268978    sum:1690
主持人   pt:618.6266617543226    sum:1105
记   pt:618.4872821156828    sum:1347
成熟   pt:617.5783200459659    sum:1523
质量   pt:614.271287063688    sum:2743
完成   pt:612.7578605604965    sum:1682
舒畅   pt:612.6384938590871    sum:1709
积累   pt:611.983446519525    sum:1633
胡乱   pt:608.0964138286924    sum:1331
人格   pt:602.9798534798521    sum:1431
记录   pt:602.4880019793738    sum:2888
来去   pt:602.0175824175896    sum:1670
宽度   pt:601.8350840336226    sum:1592
情人   pt:601.68213754546    sum:7496
职业   pt:600.6169874749919    sum:1903
机智   pt:600.520146520151    sum:2519
作者   pt:600.4759433523699    sum:4258
不断   pt:599.4979446816244    sum:4479
信仰   pt:599.1343230694098    sum:1933
优点   pt:598.7678571428587    sum:1630
女人   pt:598.3220872845332    sum:1724
合法   pt:594.9648811215291    sum:1397
光荣   pt:593.5039107950905    sum:1692
概率   pt:592.1940652167095    sum:1829
攻占   pt:591.3835978835957    sum:1740
平平   pt:588.5190476190455    sum:1202
开玩笑   pt:588.1577049331127    sum:1974
开导   pt:587.7952970297049    sum:1909
争论   pt:587.3108974358972    sum:1282
手段   pt:585.5420394420407    sum:2447
相同   pt:585.2960174577183    sum:1766
基础   pt:584.0848576965901    sum:6800
唱歌   pt:583.9422391895869    sum:1774
会面   pt:583.5257575757597    sum:1616
空闲   pt:581.8600414078722    sum:1635
权衡   pt:580.3477209065452    sum:1490
去   pt:580.2622001654273    sum:1160
不   pt:579.8743243243238    sum:1214
关键   pt:577.4978893883153    sum:1515
青年人   pt:572.1503430596961    sum:2203
削弱   pt:570.4778554778576    sum:1392
想法   pt:568.2284695696452    sum:1266
介入   pt:566.8875431213711    sum:5436
广播   pt:565.2855736855721    sum:1435
争吵   pt:565.1390723513485    sum:1208
对比   pt:564.8183683689762    sum:3204
走运   pt:564.3761904761859    sum:2014
举动   pt:562.482683982684    sum:900
影   pt:561.0213164028931    sum:1237
稀少   pt:560.5586080586081    sum:1780
出台   pt:559.9919006919012    sum:1350
路程   pt:559.1364601226313    sum:3579
噪音   pt:558.9127578304041    sum:877
繁忙   pt:556.3277192982405    sum:1899
公正   pt:556.0414108803931    sum:1966
镜头   pt:551.2105925082673    sum:1191
谨慎   pt:549.3031045751638    sum:1056
储存   pt:546.0222740963852    sum:1224
加热   pt:543.8178137651823    sum:1539
估计   pt:542.7871907785649    sum:2862
到   pt:542.6040645090967    sum:1166
食物   pt:542.5412765529088    sum:1262
旅馆   pt:541.7678249678211    sum:1687
爆裂   pt:541.7606209150316    sum:1392
助手   pt:541.0864171231481    sum:1222
满意   pt:539.3417724038384    sum:2030
回报   pt:538.1244107744096    sum:1036
任用   pt:536.5839430894297    sum:1486
最   pt:536.1952380952373    sum:1179
多   pt:535.8317460317419    sum:1653
调和   pt:530.9349784567166    sum:1037
洗雪   pt:530.608434547909    sum:1126
泡   pt:529.8373572037495    sum:1176
追赶   pt:529.3619658119686    sum:1592
戏弄   pt:529.2147159342236    sum:1300
美丽   pt:526.9479853479829    sum:1387
截   pt:526.6085858585866    sum:1132
节省   pt:526.5483116883115    sum:1285
兼职   pt:526.5424480742093    sum:1226
贴   pt:526.2680926916205    sum:1395
书籍   pt:522.9042163798266    sum:1130
兄   pt:521.9390777897892    sum:1131
严格   pt:521.0532687651344    sum:1121
悲惨   pt:520.7674603174582    sum:1129
繁荣   pt:520.1042735042713    sum:1595
马路   pt:519.7317140891441    sum:1021
沉迷   pt:515.996031746031    sum:1404
表面   pt:514.1707594882855    sum:1372
贵重   pt:513.8827838827829    sum:1174
熟练   pt:513.8278966131903    sum:1009
脆弱   pt:513.6741278329525    sum:1374
名称   pt:513.2773591850083    sum:1155
时间   pt:513.0159880617986    sum:14631
吸   pt:512.6665655301447    sum:954
一生   pt:512.2613756613754    sum:1135
差错   pt:510.61010101009936    sum:989
随即   pt:508.5750056960568    sum:1082
控告   pt:508.2867399267408    sum:1113
谢绝   pt:506.0    sum:517
笑   pt:505.8123078612157    sum:2169
卡   pt:504.92230576441085    sum:1041
失去   pt:504.0072932182911    sum:1253
雕刻   pt:503.8456140350864    sum:1123
劝告   pt:503.60526140525485    sum:1400
欺负   pt:501.9831932773069    sum:1489
推迟   pt:501.76434108527155    sum:1556
作战   pt:500.77332617257133    sum:1182
柔和   pt:499.0001044277365    sum:1977
父辈   pt:498.31944444444446    sum:1217
倾   pt:497.92037037036914    sum:967
宇宙   pt:495.93100154920404    sum:1103
弄错   pt:495.01038961038944    sum:1256
赞成   pt:493.8953631797038    sum:1604
外来   pt:493.55313283207886    sum:887
线   pt:493.4737194337207    sum:2312
细菌   pt:493.2698412698411    sum:584
重量   pt:492.30021520803456    sum:978
害臊   pt:492.240229885055    sum:1284
通知   pt:491.87301587301715    sum:1223
家乡   pt:490.89788195980185    sum:1365
背   pt:490.40656890656305    sum:1633
废物   pt:489.80077407657535    sum:1467
游荡   pt:489.55202020202137    sum:1448
抵抗   pt:488.2554112554102    sum:1134
表   pt:486.98544449942347    sum:1136
伟大   pt:486.8408119658126    sum:1373
祈求   pt:485.65048951945295    sum:6272
错误   pt:484.2294286758854    sum:3097
入选   pt:483.9587301587296    sum:813
溺爱   pt:482.9762119262118    sum:1145
经营   pt:481.68268398268435    sum:895
风景   pt:481.3023809523805    sum:1254
信心   pt:479.7743589743595    sum:1094
延长   pt:478.6630971367786    sum:1000
向   pt:476.0794871794864    sum:981
邀请   pt:475.18209005906715    sum:2703
克服   pt:473.07692307692116    sum:1026
紧密   pt:471.5423976608191    sum:1336
满怀   pt:471.17179487179453    sum:1254
依照   pt:471.1374708624679    sum:1686
垂   pt:469.8161114248059    sum:1036
城市   pt:469.0959831019252    sum:2640
稳固   pt:467.6038961038962    sum:980
团聚   pt:465.90107621995884    sum:1716
中断   pt:465.8004074357042    sum:1240
市面   pt:463.70722904418795    sum:2312
体裁   pt:462.2134697357187    sum:857
剧本   pt:460.876666666666    sum:750
布置   pt:460.5523581681458    sum:1776
深厚   pt:460.3221325845023    sum:2022
步骤   pt:460.07936507936495    sum:1707
心静   pt:459.72608695651934    sum:1175
核心   pt:458.8065679418621    sum:1048
扮演   pt:458.0782352941197    sum:1290
学界   pt:455.70273794002867    sum:919
英明   pt:455.25714285714196    sum:1035
传导   pt:455.14531612048916    sum:779
详细   pt:454.467944037217    sum:2002
寄予   pt:454.41400966183824    sum:1227
交叉   pt:453.3620689655165    sum:1119
踩   pt:452.81459553518414    sum:1092
分散   pt:452.47180451127883    sum:1234
环视   pt:451.7243498817954    sum:1332
循环   pt:451.67647058823627    sum:1579
顺利   pt:450.9926806526765    sum:1665
成长   pt:450.1776692298981    sum:1443
命运   pt:449.73326432022066    sum:1172
商业   pt:447.5756735387166    sum:1671
传染   pt:447.5564653984015    sum:858
听见   pt:446.50679223310243    sum:1950
开动   pt:443.93225108224766    sum:1417
派别   pt:443.85648866089156    sum:1586
消息   pt:443.7237467178727    sum:3690
发疯   pt:442.8029100529069    sum:1557
生长   pt:441.9075096762013    sum:1016
病人   pt:441.779769210919    sum:1107
